"Internal Contact ID","Contact Type","Contact Subtype","Do Not Email","Do Not Phone","Do Not Mail","Do Not Sms","Do Not Trade","No Bulk Emails (User Opt Out)","Legal Identifier","External Identifier (match to contact)","Sort Name","Display Name","Nick Name","Legal Name","Image Url","Preferred Communication Method","Preferred Language","Preferred Mail Format","Source of Contact Data","First Name","Middle Name","Last Name","Job Title","Birth Date","Is Deceased","Deceased Date","Household Name","Organization Name","Sic Code","Unique ID (OpenID)","Current Employer ID","Contact is in Trash","Addressee","Email Greeting","Postal Greeting","Gender","Individual Prefix","Individual Suffix","Current Employer","location_type","Street Address","Street Number","Street Number Suffix","Street Name","Street Unit","Additional Address 1","Additional Address 2","City","Postal Code Suffix","Postal Code","Geo Code 1","Geo Code 2","Address Name","Master Address Belongs To","County","State","Country","Phone","Email","On Hold","Use for Bulk Mail","Signature Text","Signature Html","im_provider","IM Screen Name","OpenID","World Region","Website","Group(s)","Tag(s)","Note(s)","Phone Type","Im Service Provider"
"6","Individual",,"1","1",,,,,,,"Roberts, Michael","Dr Michael U Roberts Sr",,,,"SMS",,"Both",,"Michael","U","Roberts",,"1987-11-27",,,,,,,,,"Dr Michael U Roberts Sr","Dear Michael","Dear Michael","Male","Dr.","Sr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Newsletter Subscribers","Major Donor,Volunteer","Chart out route map for next 10k run",,
"7","Individual",,,,,,"1",,,,"Smith, Andrew","Mr Andrew M Smith Sr",,,,"Email",,"Both",,"Andrew","M","Smith",,"1986-12-20",,,,,,,,,"Mr Andrew M Smith Sr","Dear Andrew","Dear Andrew","Male","Mr.","Sr.",,,"707I Jackson Dr NE","707","I","Jackson",,"Mailstop 101",,"Mill Shoals",,"62862","38.219997","-88.3121",,,"Alameda","IL","United States","14670200","smithandrew@tsec.net.in",,,,,,,,"America South, Central, North and Caribbean",,"Newsletter Subscribers","Volunteer","Chart out route map for next 10k run","Phone",
"8","Individual",,,,,,,,,,"Smith, Brzęczysław","Mrs Brzęczysław G Smith Sr",,,,"Postal Mail",,"Both",,"Brzęczysław","G","Smith",,"1976-08-01",,,,,,,,,"Mrs Brzęczysław G Smith Sr","Dear Brzęczysław","Dear Brzęczysław","Female","Mrs.","Sr.",,,"82K College Pl S","82","K","College",,"Churchgate",,"Mittie",,"70654","30.710561","-92.89081",,,"Alameda","LA","United States","92411599",,,,,,,,,"America South, Central, North and Caribbean",,"Newsletter Subscribers",,"Arrange collection of funds from members","Phone",
"10","Individual",,"1",,,,"1",,,,"Jones, Chris","Ms Chris B Jones Sr",,,,"Email",,"Both",,"Chris","B","Jones",,"1999-01-25",,,,,,,,,"Ms Chris B Jones Sr","Dear Chris","Dear Chris","Female","Ms.","Sr.",,,"168V Northpoint St NE","168","V","Northpoint",,"C/o PO Plus",,"Panama",,"62077","39.031623","-89.5228",,,"Alameda","IL","United States","20816242",,,,,,,,,"America South, Central, North and Caribbean",,"Newsletter Subscribers","Volunteer","Get the registration done for NGO status","Phone",
"11","Individual",,,"1",,,,,,,"Grant, Bill","Mrs Bill N Grant Jr",,,,"Fax",,"Both",,"Bill","N","Grant",,"1992-03-23","1",,,,,,,,"Mrs Bill N Grant Jr","Dear Bill","Dear Bill","Male","Mrs.","Jr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Newsletter Subscribers","Volunteer","Chart out route map for next 10k run",,
"12","Individual",,,"1",,,,,,,"Jones, Richard","Ms Richard B Jones Jr",,,,"Postal Mail",,"Both",,"Richard","B","Jones",,"1991-03-17",,,,,,,,,"Ms Richard B Jones Jr","Dear Richard","Dear Richard","Male","Ms.","Jr.",,,"819J Bay Blvd E","819","J","Bay",,"Attn: Development",,"Prairie Du Rocher",,"62277","38.095119","-90.09885",,,"Alameda","IL","United States",,,,,,,,,,"America South, Central, North and Caribbean",,"Newsletter Subscribers",,"Invite members for the Steve Prefontaine 10k dream run",,
"13","Individual",,"1","1",,,"1",,,,"Yadav, Pat","Mr Pat D Yadav Sr",,,,"Fax",,"Both",,"Pat","D","Yadav",,"1976-06-10",,,,,,,,,"Mr Pat D Yadav Sr","Dear Pat","Dear Pat","Female","Mr.","Sr.",,,"592W Martin Luther King St S","592","W","Martin Luther King",,"Donor Relations",,"Hattiesburg",,"39401","31.285508","-89.2799",,,"Alameda","MS","United States","67570607","yadavpat@npo.co.in",,,,,,,,"America South, Central, North and Caribbean",,"Newsletter Subscribers","Major Donor","Connect for presentation","Phone",
"16","Individual",,,,,,,,,,"Jones, Chris","Mr Chris X Jones Sr",,,,"Postal Mail",,"Both",,"Chris","X","Jones",,"1993-01-16",,,,,,,,,"Mr Chris X Jones Sr","Dear Chris","Dear Chris","Male","Mr.","Sr.",,,"115S Maple Pl E","115","S","Maple",,"Mailstop 101",,"Wilder",,"83676","43.653878","-116.90117",,,"Alameda","ID","United States","86931428",,,,,,,,,"America South, Central, North and Caribbean",,"Newsletter Subscribers","Major Donor","Arrange collection of funds from members","Phone",
"17","Individual",,,"1",,,"1",,,,"Jones, Sam","Ms Sam W Jones Jr",,,,"SMS",,"Both",,"Sam","W","Jones",,"2000-12-22","1",,,,,,,,"Ms Sam W Jones Jr","Dear Sam","Dear Sam","Female","Ms.","Jr.",,,"143F Pine Path W","143","F","Pine",,"Subscriptions Dept",,"Hancock",,"04640","44.524526","-68.28298",,,"Alameda","ME","United States","98099705","jonessam@npo.org",,,,,,,,"America South, Central, North and Caribbean",,"Newsletter Subscribers","Volunteer","Send reminder for annual dinner","Phone",
"18","Individual",,"1",,,,"1",,,,"Smith, Franklin","Ms Franklin P Smith Jr",,,,"Email",,"Both",,"Franklin","P","Smith",,"1991-01-09",,,,,,,,,"Ms Franklin P Smith Jr","Dear Franklin","Dear Franklin","Male","Ms.","Jr.",,,"805N El Camino Blvd W","805","N","El Camino",,"Cuffe Parade",,"Barstow",,"92311","34.894181","-117.03636",,,"Alameda","CA","United States",,,,,,,,,,"America South, Central, North and Caribbean",,"Newsletter Subscribers",,"Send newsletter for April 2005",,
